Brand name,gov_domain,keyword,kw_volume,position,traffic_on_kw,url
Bet365,web3.antaq.gov.br,como ganhar no cassino bet365,10,2,1,https://web3.antaq.gov.br/plataforma/como-jogar-cassino-na-bet365-como-ganhar/
Blaze,receita.contagem.mg.gov.br,blaze cassino aposta,10,3,1,https://receita.contagem.mg.gov.br/android/blaze-cassino-app/
Blaze,web3.antaq.gov.br,blaze cassino aposta,10,6,1,https://web3.antaq.gov.br/dell/blaze-cassino-aposta/
Betano,web3.antaq.gov.br,cassino betano como ganhar,10,5,1,https://web3.antaq.gov.br/article/uzm/como-ganhar-no-cassino-betano
Bet365,web3.antaq.gov.br,cassino da bet365,10,4,1,https://web3.antaq.gov.br/article/947/jogo-cassino-bet365
Bet365,web3.antaq.gov.br,jogos cassino bet365,10,5,1,https://web3.antaq.gov.br/plataforma/0613/melhores%20jogos%20cassino%20bet365.html
Betano,web3.antaq.gov.br,melhor jogo do cassino betano,10,7,1,https://web3.antaq.gov.br/article/179/melhor-jogo-do-cassino-betano
Betano,receita.contagem.mg.gov.br,melhor jogo do cassino betano,10,9,1,https://receita.contagem.mg.gov.br/android/melhor-jogo-do-cassino-betano/
Betano,web3.antaq.gov.br,como sacar bonus cassino betano,10,5,1,https://web3.antaq.gov.br/plataforma/como-sacar-bonus-cassino-betano-%C3%A9-confi%C3%A1vel-ilimitado/
Betano,web3.antaq.gov.br,como sacar bonus cassino betano,10,7,1,https://web3.antaq.gov.br/article/412/como-sacar-o-b%C3%B4nus-da-betano
Bet365,web3.antaq.gov.br,como ganhar dinheiro no cassino bet365,10,3,1,https://web3.antaq.gov.br/dell/como-ganhar-dinheiro-bet365/
Bet365,smtp.castelo.es.gov.br,melhor jogo cassino bet365,10,7,1,https://smtp.castelo.es.gov.br/virtuals/melhor-jogo-de-cassino-bet365
Blaze,web3.antaq.gov.br,blaze cassino paga mesmo,10,3,1,https://web3.antaq.gov.br/dell/14757/blaze-cassino-paga-mesmo/
Bet365,web3.antaq.gov.br,melhor jogo de cassino na bet365,10,4,1,https://web3.antaq.gov.br/article/melhor-jogo-de-cassino-bet365/
Blaze,web3.antaq.gov.br,blaze cassino png,0,1,1,https://web3.antaq.gov.br/article/blaze-apostas-png-android/
Blaze,receita.contagem.mg.gov.br,blaze cassino png,0,2,1,https://receita.contagem.mg.gov.br/android/blaze-png/
Sportingbet,web3.antaq.gov.br,qual melhor jogo de cassino para ganhar dinheiro no sportingbet,0,2,1,https://web3.antaq.gov.br/article/209/qual-o-melhor-jogo-para-ganhar-dinheiro-no-sportingbet
Betano,web3.antaq.gov.br,bonus de cadastro betano,30,8,1,https://web3.antaq.gov.br/article/583/bonus-de-cadastro-betano
Betano,web3.antaq.gov.br,betano cadastro bonus,30,9,1,https://web3.antaq.gov.br/plataforma/6549/betano%20bonus%20cadastro/
Betano,web3.antaq.gov.br,betano fazer cadastro,20,6,1,https://web3.antaq.gov.br/article/uyr/cadastro-na-betano
Bet365,web3.antaq.gov.br,bonus cadastro bet365,10,5,1,https://web3.antaq.gov.br/app/bet365-cadastro-b%C3%B4nus/
Bet365,web3.antaq.gov.br,bonus de cadastro bet365,10,5,1,https://web3.antaq.gov.br/plataforma/4263/bonus-bet365-registro/
Blaze,bigbluebutton.sejus.df.gov.br,cassino blaze,2100,6,0,https://bigbluebutton.sejus.df.gov.br/wps/2438/blaze-casino-como-jogar
Blaze,holerite.cajamar.sp.gov.br,cassino blaze,2100,7,0,https://holerite.cajamar.sp.gov.br/blaze-cassino-como-funciona/
Sportingbet,web3.antaq.gov.br,sportingbet cassino ao vivo,900,10,0,https://web3.antaq.gov.br/article/805/sportingbet-live
Bet365,gitlab.idace.ce.gov.br,bet365.com cassino,150,11,0,https://gitlab.idace.ce.gov.br/store/bet365-casino
Bet365,web3.antaq.gov.br,jogo cassino bet365,60,11,0,https://web3.antaq.gov.br/plataforma/jogo-cassino-bet365-jogar/
Betano,receita.contagem.mg.gov.br,não tem permissão para jogar jogos de cassino betano,30,11,0,https://receita.contagem.mg.gov.br/android/n%C3%A3o-tem-permiss%C3%A3o-para-jogar-jogos-de-cassino-betano-online/
Betano,web3.antaq.gov.br,jogo de cassino betano,30,11,0,https://web3.antaq.gov.br/app/jogos-de-cassino-betano.html
Betano,defesacivil.gaspar.sc.gov.br,como jogar cassino na betano,20,9,0,https://defesacivil.gaspar.sc.gov.br/style016/betano-cassino-como-jogar
Betano,web3.antaq.gov.br,bonus de cassino betano,20,9,0,https://web3.antaq.gov.br/dell/b%C3%B4nus-de-cassino-betano/
Bet365,web3.antaq.gov.br,melhores jogos cassino bet365,20,10,0,https://web3.antaq.gov.br/article/934/quais-as-melhores-apostas-bet365
Bet365,web3.antaq.gov.br,como ganhar no cassino bet365,10,9,0,https://web3.antaq.gov.br/plataforma/bet365-cassino-como-ganhar/
Bet365,gitlab.idace.ce.gov.br,cassino da bet365,10,10,0,https://gitlab.idace.ce.gov.br/store/cassino.bet365
Bet365,web3.antaq.gov.br,cassino da bet365,10,11,0,https://web3.antaq.gov.br/article/was/?bet365
Betano,receita.contagem.mg.gov.br,betano bonus cassino,10,7,0,https://receita.contagem.mg.gov.br/android/bonus-cassino-betano/
Bet365,web3.antaq.gov.br,bet365 jogos cassino,10,3,0,https://web3.antaq.gov.br/plataforma/melhores%20jogos%20cassino%20bet365/
Bet365,orcamento.santafilomena.pe.gov.br,bet365 jogos cassino,10,7,0,https://orcamento.santafilomena.pe.gov.br/apps/jogo-bet365-casino
Betano,web3.antaq.gov.br,rodadas grátis cassino betano,10,8,0,https://web3.antaq.gov.br/app/cassino-betano-rodadas-gratis/
Betano,web3.antaq.gov.br,como jogar betano cassino,10,11,0,https://web3.antaq.gov.br/plataforma/como-fazer-aposta-no-betano-cassino/
Bet365,web3.antaq.gov.br,melhor jogo de cassino na bet365,10,11,0,https://web3.antaq.gov.br/plataforma/melhores-jogos-cassino-bet365-sem-b%C3%B4nus/
Blaze,holerite.cajamar.sp.gov.br,blaze cassino png,0,4,0,https://holerite.cajamar.sp.gov.br/blaze-apostas-logo-png
Blaze,web3.antaq.gov.br,blaze cassino png,0,6,0,https://web3.antaq.gov.br/plataforma/blaze-apostas-png-vip-premium/
Blaze,web3.antaq.gov.br,blaze cassino png,0,10,0,https://web3.antaq.gov.br/plataforma/blaze-apostas-png-bacana/
Sportingbet,biblioteca.ana.gov.br,como ganhar dinheiro no cassino sportingbet,0,3,0,https://biblioteca.ana.gov.br/article/rps/como-ganhar-dinheiro-no-sportingbet
Sportingbet,web3.antaq.gov.br,como ganhar dinheiro no cassino sportingbet,0,4,0,https://web3.antaq.gov.br/plataforma/qual-melhor-jogo-de-cassino-para-ganhar-dinheiro-no-sportingbet-bonus/
Sportingbet,siacor.esporte.gov.br,como ganhar dinheiro no cassino sportingbet,0,8,0,https://siacor.esporte.gov.br/file/bet9992/como-ganhar-dinheiro-na-sportingbet
Vai de Bet,hom.saoborja.rs.gov.br,vai de bet bonus cassino,0,10,0,https://hom.saoborja.rs.gov.br/news/vai-de-bet-bonus-cassino.html
Sportingbet,web3.antaq.gov.br,qual melhor jogo de cassino para ganhar dinheiro no sportingbet,0,5,0,https://web3.antaq.gov.br/article/547/qual-o-melhor-jogo-para-ganhar-dinheiro-no-sportingbet
Bet365,receita.contagem.mg.gov.br,bet365 fazer cadastro,200,11,0,https://receita.contagem.mg.gov.br/android/como-se-cadastrar-na-bet365-apostas-esportivas/
Bet365,gitlab.idace.ce.gov.br,cadastro no bet365,150,11,0,https://gitlab.idace.ce.gov.br/store/cadastrar-bet365
Bet365,web3.antaq.gov.br,bet365 bonus de cadastro,80,11,0,https://web3.antaq.gov.br/plataforma/bet365-b%C3%B4nus-cadastro-aposta-sistema-como-funciona/
Sportingbet,servicosonline.bomprincipio.rs.gov.br,cadastro sportingbet,60,11,0,https://servicosonline.bomprincipio.rs.gov.br/apps9471/cadastro-sportingbet
Bet365,receita.contagem.mg.gov.br,esporte bet365 cadastro,10,8,0,https://receita.contagem.mg.gov.br/android/esporte-bet365-cadastro/
Betano,web3.antaq.gov.br,cadastro betano bonus,10,9,0,https://web3.antaq.gov.br/hot/betano-bonus-cadastro/
Novibet,web3.antaq.gov.br,novibet bonus de cadastro,0,5,0,https://web3.antaq.gov.br/article/cks/novibet-bonus-cadastro
Novibet,geo.cruzalta.rs.gov.br,novibet bonus de cadastro,0,9,0,https://geo.cruzalta.rs.gov.br/geoserver/store/novibet-b%C3%B4nus-de-cadastro
Novibet,web3.antaq.gov.br,novibet bonus de cadastro,0,10,0,https://web3.antaq.gov.br/plataforma/novibet-b%C3%B4nus-de-cadastro-cupom/
Betano,web3.antaq.gov.br,codigo betano cadastro,0,10,0,https://web3.antaq.gov.br/plataforma/se-cadastrar-na-betano-c%C3%B3digo-b%C3%B4nus/
Sportingbet,web3.antaq.gov.br,sportingbet 365 cadastro,0,3,0,https://web3.antaq.gov.br/online/8394/sportingbet-365-login/
Sportingbet,portalfns.saude.gov.br,sportingbet 365 cadastro,0,5,0,https://portalfns.saude.gov.br/online5691/sportingbet-365-brasil/
